시도,시군구,읍면동
강원도,삼척시,가곡면
강원도,화천군,간동면
강원도,고성군,간성읍
강원도,철원군,갈말읍
강원도,횡성군,갑천면
강원도,춘천시,강남동
강원도,강릉시,강남동
강원도,강릉시,강동면
강원도,횡성군,강림면
강원도,양양군,강현면
강원도,원주시,개운동
강원도,고성군,거진읍
강원도,강릉시,경포동
강원도,정선군,고한읍
강원도,횡성군,공근면
강원도,강릉시,교1동
강원도,강릉시,교2동
강원도,춘천시,교동
강원도,속초시,교동
강원도,삼척시,교동
강원도,태백시,구문소동
강원도,강릉시,구정면
강원도,원주시,귀래면
강원도,철원군,근남면
강원도,삼척시,근덕면
강원도,철원군,근북면
강원도,춘천시,근화동
강원도,속초시,금호동
강원도,인제군,기린면
강원도,영월군,김삿갓면
강원도,철원군,김화읍
강원도,양구군,남면
강원도,춘천시,남면
강원도,인제군,남면
강원도,정선군,남면
강원도,영월군,남면
강원도,홍천군,남면
강원도,춘천시,남산면
강원도,삼척시,남양동
강원도,강릉시,내곡동
강원도,홍천군,내면
강원도,홍천군,내촌면
강원도,삼척시,노곡면
강원도,속초시,노학동
강원도,원주시,단계동
강원도,원주시,단구동
강원도,평창군,대관령면
강원도,속초시,대포동
강원도,평창군,대화면
강원도,삼척시,도계읍
강원도,춘천시,동내면
강원도,춘천시,동면
강원도,홍천군,동면
강원도,양구군,동면
강원도,속초시,동명동
강원도,춘천시,동산면
강원도,철원군,동송읍
강원도,동해시,동호동
강원도,홍천군,두촌면
강원도,횡성군,둔내면
강원도,동해시,망상동
강원도,원주시,명륜1동
강원도,원주시,명륜2동
강원도,영월군,무릉도원면
강원도,원주시,무실동
강원도,동해시,묵호동
강원도,태백시,문곡소도동
강원도,원주시,문막읍
강원도,삼척시,미로면
강원도,평창군,미탄면
강원도,원주시,반곡관설동
강원도,동해시,발한동
강원도,평창군,방림면
강원도,양구군,방산면
강원도,원주시,봉산동
강원도,평창군,봉평면
강원도,동해시,부곡동
강원도,원주시,부론면
강원도,영월군,북면
강원도,인제군,북면
강원도,홍천군,북방면
강원도,춘천시,북산면
강원도,동해시,북삼동
강원도,동해시,북평동
강원도,정선군,북평면
강원도,화천군,사내면
강원도,춘천시,사북면
강원도,정선군,사북읍
강원도,강릉시,사천면
강원도,태백시,삼수동
강원도,동해시,삼화동
강원도,인제군,상남면
강원도,영월군,상동읍
강원도,화천군,상서면
강원도,태백시,상장동
강원도,양양군,서면
강원도,홍천군,서면
강원도,춘천시,서면
강원도,철원군,서면
강원도,홍천군,서석면
강원도,횡성군,서원면
강원도,인제군,서화면
강원도,춘천시,석사동
강원도,삼척시,성내동
강원도,강릉시,성덕동
강원도,강릉시,성산면
강원도,춘천시,소양동
강원도,원주시,소초면
강원도,양양군,손양면
강원도,강릉시,송정동
강원도,동해시,송정동
강원도,삼척시,신기면
강원도,춘천시,신동면
강원도,정선군,신동읍
강원도,원주시,신림면
강원도,춘천시,신북읍
강원도,춘천시,신사우동
강원도,횡성군,안흥면
강원도,춘천시,약사명동
강원도,양구군,양구읍
강원도,양양군,양양읍
강원도,정선군,여량면
강원도,강릉시,연곡면
강원도,속초시,영랑동
강원도,영월군,영월읍
강원도,강릉시,옥계면
강원도,강릉시,옥천동
강원도,강릉시,왕산면
강원도,평창군,용평면
강원도,원주시,우산동
